,USERID,ORDERDATE,ORDERID,AMOUNTINFO
581,100590,2018-01-03,4203146920,199.0
582,149908,2018-01-03,4150687675,199.0
583,85463,2018-01-03,3373890231,199.0
584,127530,2018-01-03,4193623222,199.0
585,79512,2018-01-03,4196762278,188.0
586,103823,2018-01-03,4199955376,179.0
587,149695,2018-01-03,4117571166,179.0
588,76648,2018-01-03,4193846940,169.1
589,93387,2018-01-03,4196858622,169.0
590,152644,2018-01-03,4200119602,169.0
591,121593,2018-01-03,4197533883,168.0
592,67499,2018-01-03,4192193149,154.0
593,116741,2018-01-03,4199180880,119.0
594,125595,2018-01-03,4196611922,118.0
595,53727,2018-01-03,4129661348,109.0
596,141552,2018-01-03,4167155190,109.0
597,57847,2018-01-03,4192461830,109.0
598,163972,2018-01-03,4202577343,108.0
599,115991,2018-01-03,4202096979,106.0
600,137151,2018-01-03,3828503583,106.0
601,118164,2018-01-03,4175560825,106.0
602,108240,2018-01-03,4194446156,105.0
603,70252,2018-01-03,4196725017,105.0
604,73279,2018-01-03,4193661727,99.0
605,97382,2018-01-03,4198773552,99.0
606,71249,2018-01-03,4201152983,99.0
607,86629,2018-01-03,4192459118,99.0
608,80818,2018-01-03,4193014548,99.0
609,161883,2018-01-03,4195812689,99.0
610,108294,2018-01-03,4201374394,99.0
611,134837,2018-01-03,4192751349,95.0
612,98742,2018-01-03,3900185183,89.9
613,80241,2018-01-03,4192135193,89.0
614,72643,2018-01-03,4191870596,89.0
615,98799,2018-01-03,4195351191,89.0
616,154638,2018-01-03,4194752152,88.0
617,145171,2018-01-03,4154416653,88.0
618,132214,2018-01-03,4179066901,86.0
619,137292,2018-01-03,4031557542,79.9
620,136517,2018-01-03,4197205608,79.0
621,134524,2018-01-03,4202254684,79.0
622,126812,2018-01-03,4189246457,78.0
623,64517,2018-01-03,4199519825,69.0
624,92074,2018-01-03,4188100661,69.0
625,78037,2018-01-03,4191364099,69.0
626,122464,2018-01-03,4099441747,69.0
627,157450,2018-01-03,4144445937,66.0
628,80219,2018-01-03,4188702040,62.0
629,53230,2018-01-03,4109612891,61.0
630,160402,2018-01-03,4200877125,59.0
631,60063,2018-01-03,4191402022,59.0
632,158979,2018-01-03,4192679051,59.0
633,101989,2018-01-03,4193496874,59.0
634,159439,2018-01-03,4170038287,59.0
635,76768,2018-01-03,4192045707,57.0
636,76203,2018-01-03,4191272432,56.9
637,124173,2018-01-03,3668095203,56.0
638,152623,2018-01-03,4199715513,51.0
639,122769,2018-01-03,4126027718,51.0
640,112618,2018-01-03,3997985435,49.0
641,61365,2018-01-03,4007705180,49.0
642,144835,2018-01-03,4039306730,46.9
643,119360,2018-01-03,4191613107,44.9
644,154945,2018-01-03,4110681224,39.0
645,116775,2018-01-03,4041062459,39.0
646,87294,2018-01-03,4197558679,39.0
647,131035,2018-01-03,4007660433,37.0
648,119514,2018-01-03,4176585178,36.0
649,71496,2018-01-03,4196097275,34.5
650,78938,2018-01-03,4187053664,33.9
